% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=261133, Tue Aug 23 10:54:18 2022, <python>{}</python>
74 740 0.26208671911865267 0 0 0.16269779733228 0.2813482118988652 0.3550892800900367 0.1462824015945547 0.44197486433919214 0.14647886497377058 0.11682549742498285 0.09437305663107645 0.07302020799546335
75 750 0.24551358979845986 0 0 0.15455865682868986 0.26017743907283275 0.3202875939876337 0.13832706065737982 0.40072573172952924 0.13588272870244658 0.11040751395034396 0.08832092767640687 0.06801603046093377
76 760 0.2776321011588368 0 0 0.17706037006083 0.29492852498819344 0.37065457139807406 0.1558374137646638 0.45843747687649145 0.15069452429462105 0.12630305501767425 0.10664123326820005 0.07487438726555365
77 770 0.2908521160191415 0 0 0.18310340483533197 0.30792003391127837 0.38508068236730025 0.16130522178110504 0.45289248452533415 0.15424213322027083 0.1371831073419847 0.11139601872935848 0.07869236464320849
78 780 0.28329859433340693 0 0 0.17786429905181284 0.30676936259693427 0.3740585345320181 0.1514352393286749 0.4445908699259846 0.14665536934043735 0.13418665067281932 0.10855388148649596 0.07541825049518847
79 790 0.2508334586724188 0 0 0.15424406522310266 0.2696747315018835 0.3257025000213935 0.13272270704906014 0.3876351755858933 0.12818965193335038 0.11576058774434536 0.09056993624108547 0.06554405899281775
80 800 0.22442429916563983 0 0 0.14036462691076723 0.24125446771368436 0.27922239008983585 0.119167801452334 0.3519644723189395 0.11434475271244052 0.10380113722531221 0.07726946212926318 0.05866281361588984
81 810 0.2016734081855721 0 0 0.12661876802287367 0.2140161795002911 0.2476014241286287 0.10614102959173452 0.31853058317118643 0.10173765498906841 0.09321120332054786 0.06978344669248743 0.051932835607870036
82 820 0.19044685694669944 0 0 0.11769273530910059 0.20363915081155906 0.23367256210571818 0.09842642724345828 0.2964635795319255 0.0950031110140758 0.08730630994197265 0.06546922845218328 0.0477449199196555
83 830 0.18354844892748243 0 0 0.11271803108079131 0.19506248061027004 0.22482250533086934 0.09222971443954246 0.28085029447035426 0.09072796380769693 0.08190487752541115 0.0652323050720863 0.04552983413839372
84 840 0.19392837435584692 0 0 0.11200382847223803 0.20488479844773674 0.23903226777256012 0.09684995515620856 0.30078419004333545 0.09645434948904145 0.0860197282715699 0.06882311727797209 0.052485711837424974
85 850 0.19613664458527336 0 0 0.10996374016161649 0.21464558729834565 0.2376490394059403 0.0970398446791839 0.30913098708059356 0.09933420584265833 0.08687094988172799 0.07012214423666026 0.0534702207474032
86 860 0.19576340664594571 0 0 0.10653867112665322 0.2227999509832725 0.23793362744420243 0.09345227745355986 0.30089571677975835 0.09952778586346274 0.08812216818173567 0.06783698744517527 0.053039735222218665
87 870 0.18044995500292849 0 0 0.09635737893144058 0.20190271404111637 0.21621716584910064 0.08539792897315801 0.2717773760344695 0.09100508193606079 0.08037697523357919 0.06330627923287056 0.048901915543536095
88 880 0.19170703528230948 0 0 0.10405471730702912 0.22671354342262587 0.22738851103250274 0.09105916322147939 0.28619435059842896 0.09532345159298654 0.08620887329440384 0.0707801773924064 0.0505586016052198
89 890 0.19139353642408666 0 0 0.10460672515535344 0.22949380565901137 0.22394575098817268 0.09047781780924909 0.285717801752945 0.09369930222747616 0.08176906206997551 0.07084043188274018 0.05259044650303743
90 900 0.17782087485214212 0 0 0.09718649555140833 0.21301334192944263 0.2058578876880672 0.08423546304064146 0.26565517843829883 0.08676322872436705 0.07545355531921483 0.06548845611407833 0.04850512216674162
91 910 0.17618404593784173 0 0 0.09476885082148143 0.20817679062948663 0.20338541381872144 0.08304147058107265 0.27189477689350144 0.08579504809892967 0.07389292439324663 0.06309430670456298 0.04729948530098222
92 920 0.16401695422606255 0 0 0.08952231644522422 0.1948951953215658 0.1875756535693994 0.07751350842811666 0.25468563298480806 0.07770616939661518 0.06786119749649945 0.058635910395013105 0.04333007803475473
93 930 0.1578549318530686 0 0 0.0849910414880682 0.18694799986495392 0.17780238714137644 0.0744296566936715 0.2436263761695168 0.07474542186754304 0.06436084097802942 0.0562502155716049 0.04173194438934925
94 940 0.16514394048420317 0 0 0.08647737939860722 0.19565662313718632 0.19045707084954647 0.07973334370970896 0.25410914997330614 0.07827087260532425 0.06650190885102117 0.05807521401546492 0.04441677171168489
95 950 0.1676382117102575 0 0 0.08692874950584406 0.19653822501797497 0.19410001969340338 0.08077010453982432 0.2514450950076034 0.07729119582725956 0.06791026224002895 0.058553819136979456 0.04452197707886389
96 960 0.1674594802232444 0 0 0.08507987894683051 0.1942547365802044 0.19890321563733077 0.07808729927398425 0.25643116196563115 0.07809197979053917 0.06819649219985344 0.05745518350576952 0.04524334517442532
97 970 0.16230954570171646 0 0 0.08234154949952432 0.18556326717291707 0.19565660777150942 0.07539727931627738 0.24887829365153347 0.07534847431766374 0.06810836466171151 0.057287376312002244 0.04486999431987091
98 980 0.14614565964441217 0 0 0.0722566662395995 0.16321109199012915 0.17333250280957446 0.06708442873235508 0.22111522014211826 0.06661404960642131 0.060848796371409865 0.05205956257929373 0.0399736311003135
